import_root	path	sha256	bytes	standalone	target_volume	active_book_reference	identical_copy_count	integration_status
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch03/green_cells.tex	098751ceeec35ac2b76d2e85b3b414aadb74a013342b09c1f2991d18ecadf4b3	370	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch03/laplacian_curvature.tex	99d4e515157198bfd237fae7ec77f7904eadb923eca73f3b0d4e49c78b4a72b2	456	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch03/stokes_orientation.tex	b7c4647ba0978a846505e98d39a69cde4527fb778257574ac1a80c45323bd25e	412	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch03/surface_flux.tex	21255d4fb8d5eb56be8194a7d53db735faa9310fef5ee6cfc09041a6b450bc6b	435	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch03/vector_calculus_architecture.tex	a00a1a1560b34f8ad3f703f75ba40328e30c99b85661a86cb3e487cbc6a547a1	913	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch03/volume_elements.tex	84bbd859cda2b18c5c3ef22f02e4b75a4929a278296244222f5527f86867bc8a	699	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch04/coupled_modes.tex	8f4808bbbf6ccd475e748322e2b4d91748400866f156254086c96fc7868a13ee	980	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch04/damping_regimes.tex	bcb764ca1e7951bfb6e3e586466cf6b15f01605eb672c148755bbc949e9d2a34	610	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch04/evolution_architecture.tex	f6f9708305c7fc421c62c1975a5f620c279b93c10658125148077eee1eeeec57	707	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch04/harmonic_motion.tex	f3bbdcf5ba141e5817082e0ceac814ebe2ba04e756ca2fa35bc7b6d31914ddbd	404	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch04/phase_portraits.tex	91db5a7c58afce590d09bcfa49079c8d46bfd94fad22283f7a9d618923bfb0cc	1128	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch04/pitchfork.tex	eaffcdf288b18690577579c086f9130bf00a762fd0b27fdbab0e8ead02773387	453	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch04/representation_map.tex	df6bd7ac83f32c000a06c9c982fdd0c515061b6d0534ed9dacc9b2633dfb55b9	863	no	UNMAPPED	no	23	deduplicate-before-integration
ALL_TEX_AND_FIGURES	imports/ALL_TEX_AND_FIGURES/figures/Downloads/theory/figures/ch04/slope_field.tex	da15ab34ecf28b8145d569d016518b6877f0d09d5eeb9d3fb527f466267033be	502	no	UNMAPPED	no	23	deduplicate-before-integration
