group_id,duplicate_type,sha256,structural_sha256,path,group_size,notes
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/COMPILE_READY/figures/Downloads_theory-main-CH6-COMMIT-56-v2.8-FULL-PROJECT_ch4_work_figures_ch03_divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/COMPILE_READY/figures/Downloads_theory-main-CH6-COMMIT-56-v2.8_ch4_work_figures_ch03_divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/COMPILE_READY/figures/Downloads_theory-main-CH6-COMMITS-57-61-v2.9-CORRECTED-FULL-PROJECT_ch4_work_figures_ch03_divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/COMPILE_READY/figures/Downloads_theory-main-CH6-COMMITS-57-61-v2.9-FULL-PROJECT_1_ch4_work_figures_ch03_divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/COMPILE_READY/figures/Downloads_theory-main-CH6-COMMITS-57-61-v2.9-FULL-PROJECT_ch4_work_figures_ch03_divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/COMPILE_READY/figures/Downloads_theory_figures_ch03_divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/Downloads/theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5/ch4_work/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/Downloads/theory-main-CH6-COMMIT-56-v2.8-FULL-PROJECT/ch4_work/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/Downloads/theory-main-CH6-COMMIT-56-v2.8/ch4_work/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/Downloads/theory-main-CH6-COMMITS-57-61-v2.9-CORRECTED-FULL-PROJECT/ch4_work/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/Downloads/theory-main-CH6-COMMITS-57-61-v2.9-FULL-PROJECT(1)/ch4_work/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/Downloads/theory-main-CH6-COMMITS-57-61-v2.9-FULL-PROJECT/ch4_work/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/Downloads/theory/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-51-v2.6/ch4_work/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-195,exact,3b40baeb29e0ad459ac4ce5e6cd83ebd1c59e0a1ca65583416b045154abc78cf,,imports/theory-main-CH5-PRODUCTION-COMMITS-1-55-v2.7/ch4_work/figures/ch03/divergence_source_sink.tex,23,identical SHA256
exact-196,exact,3b6fbe5a8beee4d6dc5a1ead9e3beb9a2470d5e91a970fe46e4b7c3a690068e2,,imports/ALL_TEX_AND_FIGURES/tex/Downloads/theory-of-differential-geometry-3.tex,4,identical SHA256
exact-196,exact,3b6fbe5a8beee4d6dc5a1ead9e3beb9a2470d5e91a970fe46e4b7c3a690068e2,,imports/ALL_TEX_AND_FIGURES/tex/MATH_ALLS-3/theory-of-differential-geometry-3.tex,4,identical SHA256
