"file"	"status"	"exit_code"	"pdf_path"	"error"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_distance_between_points.tex"	"fail"	"12"	""	"ween_points.tex:2: Undefined control sequence."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_dot_product_angle.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_dot_product_angle\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_dot_product_angle-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_eigenvectors.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_eigenvectors\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_eigenvectors-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_function_vector_space.tex"	"fail"	"12"	""	"tor_space.tex:2: Package pgfkeys Error: I do not know the key '/tikz/book axis'"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_gram_schmidt.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_gram_schmidt\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_gram_schmidt-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_hilbert_space_bridge.tex"	"fail"	"12"	""	"e_bridge.tex:2: Package xcolor Error: Undefined color `visualblue'."
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_linear_independence.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_linear_independence\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_linear_independence-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_linear_transformation.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_linear_transformation\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_linear_transformation-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_orthogonal_projection.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_orthogonal_projection\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_orthogonal_projection-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_parallelogram_area.tex"	"fail"	"12"	""	"m_area.tex:3: Package pgfkeys Error: I do not know the key '/tikz/softblue' and"
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_right_hand_rule.tex"	"success"	"0"	"build\compile-audit\figure-tex\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_right_hand_rule\Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_right_hand_rule-wrapper.pdf"	""
"Downloads_theory-main-CH5-PRODUCTION-COMMITS-1-48-v2.5_ch4_work_figures_ch01_scalar_multiplication.tex"	"fail"	"12"	""	"plication.tex:3: Package pgfkeys Error: I do not know the key '/tikz/book vecto"
