chapter	ordinal	label	exercise_sha256	hint_sha256	solution_sha256	status
IV/02	9	exr:iv02-expand-01	b213babc2d798e5be28832f708f3282c974a8fb3d08577f00fd2f66abcb69175	8816a98954414a8bf1b8ead143bed7240c38a668b665ebe0ddfc50b9e92eba30	07fce873123354e9d0c53ddf2bcad96d1ed5d509d9d322f6477ee2a484a1fb23	PASS
IV/02	10	exr:iv02-expand-02	73f462df56b4aa1711d5e6033894c99aa7010be600ca1abab7961c8a1e05a994	82f2528e0b9058c3d3173cd8faa00f20d38a8f606065b8a361b7cadadbb251db	74c7902a06017c0b9d6bb195bf8ab4a22e3eec12fcfd3f31ec754ebafae60ded	PASS
IV/02	11	exr:iv02-expand-03	9a96f7a61523e10ad9c688920a427f457099d5b209f68023ee01313738e52935	9672e47a39b4dee797a4870e40282dce9562b856c0be3cb448c6322a6cf8a859	9467e8582a2d16b5d3aff2cf790f9bea662edb5919274cecdd1666ebdf0e4d99	PASS
IV/02	12	exr:iv02-expand-04	24ca113db136e2f4ce548f23350484ffd0f5e511136f1cb3ff036b97b1cc8e4e	36fbc34bdb8922f88673bacc0ec9da44731999f4bb2a54809719645719d054aa	311a412e6e89d009a3aea05d446fd51713e31a6aa64cd68badae56bd2e7f24d4	PASS
IV/02	13	exr:iv02-expand-05	3ba0a750482525dc2166b5b375b2238c81fb6649e9598f6e683a1f1663e76e08	e8cbd20991935f4d4b8e97dcb57d0f642fccc9e1aec299458b8eea6833727c65	82243e1e3ac9ee45464c3a3328792407e0c62aa66ba2cc83c71ccb00aee87c56	PASS
IV/02	14	exr:iv02-expand-06	ae782937bcaf62611b29365d25e84769ebd78da336870f161e05d06df1165106	4cb271532c89a4ca21bd1863d6209b67e4c43229ff22549e170fce35db7c4104	2d578afd48ab5b485de8e81d921d04137db49d677e43756a2f4599f998678fd0	PASS
IV/02	15	exr:iv02-expand-07	3b4d926f7f5ec78f7551f7c71caf7cc232ce4a155c5544ed157d6f7c9fd96971	0297aa9723d550b379200a568bcc12c975981973bd38bf85edd2c2bcbadd53c7	458d2497f719d0f50311d5125ebe3da02b998a08f891ec1bcd700b0aff837ab3	PASS
IV/02	16	exr:iv02-expand-08	9ce074e67dc6eb30725c0cd9173ba79be31ba8a8a1daf30efdebd9e5ce015f10	e9c94ff3ba98b7ce4c2cb6acd88683aec5c4c8ee4ad5a96424379d63be32fdf9	be860cfefa8b100aa855423f0be72c930e49cc37fcc02f1af489de56561e15e1	PASS
IV/02	17	exr:iv02-expand-09	59a21e3e70e9adad0ea1a309b4dfb709b88d5a7e4650f5eadde44fabe86dbc26	80fedcd2b668067261c447b655c958077748698e98fcdee87e4c0f92bc9dae5d	0dfb23212455e4e6d3b6a9b68bd0f83658b23e7cce9708affcd777db41769408	PASS
IV/02	18	exr:iv02-expand-10	e03a251291da3884effcfe12012a50eb10711d7118a1022f67539d50eeace0c9	7a9e0fa7fd623b940704f3c4dc55ba82eb89427a9f71e07223036f5a03b6ff87	2466e03de6c161e2727e1606a35cc3845699ed4954f60b4aef808fcc894bd2f3	PASS
